job,answer
dact.,bureaux de consultation
serrurier,industrie des métaux
profess.,"agences,locations,consultations"
prof.,"agences,locations,consultations"
prieurs,administration publique
retraité,administration publique
prof. de piano,arts graphiques
laitier,produits alimentaires
cimenteur,pierre et terre
appareill.,"construction,charpenterie"
prof.,bureaux de consultation
bonneterie en gros,commerce de gros
cordonnier,"vêtements, lingerie,chaussures,literies"
repass.,industrie textile
voyag.,transports
commis postal,administration publique
secrétaire,bureaux de consultation
grav. litho.,arts graphiques
ajusteur,réparations
journal.,arts graphiques
empl,"employés pour tous,célibataires"
menur,réparations
nég.,"banques,établissements financiers"
cafet.,"hôtellerie,restauration"
chauffeur,transports
ouvr.,"construction,charpenterie"
fromages,produits alimentaires
g.-front.,industrie textile
secrét.,bureaux de consultation
portier,"journaliers,entretien"
cordon.,industrie textile
journ.,"journaliers,entretien"
cout.,"construction,charpenterie"
gérante,"agences,locations,consultations"
dactyl.,arts graphiques
emp.,"employés pour tous,célibataires"
emp.,"employés pour tous,célibataires"
emp.,"employés pour tous,célibataires"
entrepr.,"construction,charpenterie"
serrurier,industrie des métaux
relieur,industrie du papier
plâtrier,"construction,charpenterie"
lingère,"vêtements, lingerie,chaussures,literies"
épic.,produits alimentaires
cout.,industrie textile
dactyl.,arts graphiques
secrétaire,bureaux de consultation
entrepr.,"agences,locations,consultations"
tourneur,industrie des métaux
entr.,"journaliers,entretien"
institutrice,"agences,locations,consultations"
rentier,"affaires immobilières,location"
jardin.,"journaliers,entretien"
tailleur,"vêtements, lingerie,chaussures,literies"
cordonnier,"vêtements, lingerie,chaussures,literies"
institut.,"agences,locations,consultations"
comm. CFF.,transports
méc.,industrie des métaux
sement,pierre et terre
condd. typo.,"construction,charpenterie"
tailleur de pierres,pierre et terre
taill.,industrie du papier
lithogr.,arts graphiques
empl. T.-L.,"employés pour tous,célibataires"
tonnelier,"bois,liège,meubles"
voyageur,transports
lingère,"vêtements, lingerie,chaussures,literies"
mod,industrie du papier
tailleur,"vêtements, lingerie,chaussures,literies"
horloger,horlogerie
journ.,"journaliers,entretien"
vins,produits alimentaires
garde-fron.,transports
recteur,administration publique
compt.,"banques,établissements financiers"
propr.,"affaires immobilières,location"
empl. C. F. F.,"employés pour tous,célibataires"
voyag.,transports
boucher,produits alimentaires
serrur.,industrie des métaux
mécanic,industrie des métaux
mécan. C. F. F.,industrie des métaux
représent.,"agences,locations,consultations"
somm.,commerce de détail
coiff.,commerce de détail
dom.,employées pour le ménage et la ferme
repass.,industrie textile
ingén.,industrie chimique
fond.,industrie du papier
mod.,arts graphiques
étud.,bureaux de consultation
rent.,"affaires immobilières,location"
accidents,réparations
directeur,administration publique
directrice,administration publique
isoleur,"construction,charpenterie"
cordon.,"vêtements, lingerie,chaussures,literies"
Dr-médec.,bureaux de consultation
art. peintre,arts graphiques
coiff.,commerce de détail
charron,"construction,charpenterie"
infirmière,employées pour le ménage et la ferme
ouvr.,"construction,charpenterie"
dom.,employées pour le ménage et la ferme
vicaire,administration publique
nég.,"banques,établissements financiers"
mont. CFF.,transports
charretier,transports
dir. hôtel Royal,"hôtellerie,restauration"
voyag.,transports
repass.,réparations
prof. piano,arts graphiques
limeur,pierre et terre
télégraphiste,"agences,locations,consultations"
voyageur,transports
primeurs,produits alimentaires
évangéliste,"agences,locations,consultations"
fromager,produits alimentaires
coiff.,commerce de détail
commis postal,"agences,locations,consultations"
lingère,"vêtements, lingerie,chaussures,literies"
nég.,"banques,établissements financiers"
empl. té1ég.,"employés pour tous,célibataires"
horloger,horlogerie
horloger,horlogerie
horloger,horlogerie
prof de musique,arts graphiques
chef d'institut,administration publique
institutrice,"agences,locations,consultations"
pension,assurances privées
café sans alcool,"hôtellerie,restauration"
cafetier,"hôtellerie,restauration"
tailleuse,"vêtements, lingerie,chaussures,literies"
emballeur,commerce de détail
chef-caissier B. C. V.,commerce de détail
horloger,horlogerie
bouch.,réparations
chauffeur,transports
rent.,"affaires immobilières,location"
cordonn.,industrie textile
machiniste,industrie des métaux
commis C. F. F.,transports
boulangerie,produits alimentaires
emp. banq.,"banques,établissements financiers"
horlogère,horlogerie
retr. CFF.,transports
ouvrier de ville,"journaliers,entretien"
nett. CFF.,transports
mécanicien-dentiste.,"bijouterie,gravure,frappe"
tailleur,"vêtements, lingerie,chaussures,literies"
blanchis.,employées pour le ménage et la ferme
coiff.,commerce de détail
cout.,industrie textile
empl,"employés pour tous,célibataires"
emp. CFF.,transports
cond. CFF.,transports
retraité CFF.,administration publique
repasseuse,industrie textile
cout.,industrie textile
téléph.,transports
emp. CFF.,transports
vins,produits alimentaires
vannier,"bois,liège,meubles"
électr.,"gaz,eau,éléctricité"
archit.,"construction,charpenterie"
cafetier,"hôtellerie,restauration"
chef de cuisine,"hôtellerie,restauration"
tailleur,"vêtements, lingerie,chaussures,literies"
ameublements,"bois,liège,meubles"
chiffonnier,réparations
emp.,"employés pour tous,célibataires"
mouleur,industrie des métaux
jardinière,"journalières,entretien"
contrem.,horlogerie
serg. gend.,administration publique
machand forain,commerce de détail
pension,assurances privées
jardin.,"journaliers,entretien"
lithogr.,arts graphiques
téléph.,transports
charpentier,"construction,charpenterie"
laitier,produits alimentaires
retraité,administration publique
empI.,"employés pour tous,célibataires"
institut.,administration publique
cout.,industrie textile
repr. d'usines,industrie chimique
appareill.,"construction,charpenterie"
blanchisseuse,employées pour le ménage et la ferme
cuis.,produits alimentaires
coiffeuse,commerce de détail
sous-chef de la Sûreté,administration publique
mécanicien,industrie des métaux
lithogr.,arts graphiques
teinturier,industrie textile
commis CFF.,transports
emp. postal,"agences,locations,consultations"
commis post.,"agences,locations,consultations"
médecin,"agences,locations,consultations"
commerc.,commerce de détail
recevv. C.F.F.,transports
étud.,"agences,locations,consultations"
prof. de mus.,arts graphiques
sommelier,"hôtellerie,restauration"
comm. de banq.,"banques,établissements financiers"
tailleur,"vêtements, lingerie,chaussures,literies"
empl. post.,"employés pour tous,célibataires"
café,"hôtellerie,restauration"
empl. de banque,"banques,établissements financiers"
journalier,"journaliers,entretien"
cordonnier,"vêtements, lingerie,chaussures,literies"
pierriste,pierre et terre
charron,"construction,charpenterie"
comm. CFF,transports
charron,"construction,charpenterie"
gérant,"agences,locations,consultations"
chef fact. mess.,"hôtellerie,restauration"
manœuv.,transports
électricien,"gaz,eau,éléctricité"
vendeuse,commerce de détail
ajust. CFF.,transports
couv.,industrie du papier
emp,"employés pour tous,célibataires"
peintre,arts graphiques
allumeur de gaz,"gaz,eau,éléctricité"
voyag.,transports
tailleur,"vêtements, lingerie,chaussures,literies"
emp.,"employés pour tous,célibataires"
cocher,réparations
cuisin.,produits alimentaires
visit. C.F.F.,transports
étud.,bureaux de consultation
institutrice,"agences,locations,consultations"
ouvr. de ville,administration publique
ling.,"vêtements, lingerie,chaussures,literies"
mod.,arts graphiques
cordonn.,"vêtements, lingerie,chaussures,literies"
repasseuse,"vêtements, lingerie,chaussures,literies"
mercerie,"vêtements, lingerie,chaussures,literies"
cordier,"construction,charpenterie"
"chauff, d'auto",transports
compt.,"banques,établissements financiers"
chauffeur,transports
empl. C.F.F.,transports
domest.,employées pour le ménage et la ferme
régente,administration publique
empl,"employés pour tous,célibataires"
somm.,commerce de détail
secrétaire,bureaux de consultation
jardin.,"journaliers,entretien"
dom.,employées pour le ménage et la ferme
broderies,arts graphiques
mag.,commerce de détail
direct.,administration publique
manoeuvre,"journaliers,entretien"
assist. dentiste,réparations
monteur,réparations
forain,commerce de détail
repr.,commerce de détail
charretier,transports
horlogerie en gros,commerce de gros
lingère,"vêtements, lingerie,chaussures,literies"
maréchal,réparations
électricité,"gaz,eau,éléctricité"
prof.,bureaux de consultation
primeurs,produits alimentaires
primeurs,produits alimentaires
g. de café,"hôtellerie,restauration"
tapissier,"bois,liège,meubles"
mécanic.,réparations
kens,
mag.,commerce de détail
sténogr.,bureaux de consultation
primeurs,produits alimentaires
primeurs,produits alimentaires
coiffeur,commerce de détail
représ.,commerce de détail
serr.,réparations
Bains,"hôtellerie,restauration"
couvr.,industrie du papier
direct. d'imprimerie,arts graphiques
md de combustibles,"gaz,eau,éléctricité"
secrétaire,bureaux de consultation
emp.,"employés pour tous,célibataires"
bûcheron,"bois,liège,meubles"
com. post.,transports
retraité CFF.,administration publique
commerc.,commerce de détail
blanch.,industrie textile
représ.,commerce de détail
représent.,"agences,locations,consultations"
prof.,bureaux de consultation
menuiserie,"bois,liège,meubles"
commerc.,commerce de détail
secr.,bureaux de consultation
horlog.,horlogerie
grainier,produits alimentaires
Tea-Room,"hôtellerie,restauration"
mécanic.,réparations
pharmac.,industrie chimique
nég.,"banques,établissements financiers"
dom.,employées pour le ménage et la ferme
man,"employés pour tous,célibataires"
mécanicien T. L.,réparations
charp.,"construction,charpenterie"
charcutier,produits alimentaires
manoeuvre,"journaliers,entretien"
direct.,administration publique
agricult,employées pour le ménage et la ferme
agricult.,employées pour le ménage et la ferme
couturičre,"vêtements, lingerie,chaussures,literies"
ouvričre,industrie textile
jard.,"journaliers,entretien"
fr. d’off.,"employés pour tous,célibataires"
pensionnaire,"employés pour tous,célibataires"
cultivateur,employées pour le ménage et la ferme
menuis. aux T. L.,"bois,liège,meubles"
menuis,"bois,liège,meubles"
f. d’office,bureaux de consultation
télégr.,transports
voyag.,transports
téléph.,transports
boucher,produits alimentaires
peintre,arts graphiques
boucher,produits alimentaires
chef de train C. F. F.,transports
tapissière,industrie textile
garde-malade,employées pour le ménage et la ferme
d. de compag.,industrie du papier
d. de compag.,industrie du papier
ling.,"vêtements, lingerie,chaussures,literies"
cordonn.,"vêtements, lingerie,chaussures,literies"
tapissier,"bois,liège,meubles"
téléphoniste,"agences,locations,consultations"
peintre,arts graphiques
téléph.,"agences,locations,consultations"
papetier,industrie du papier
bouch.,réparations
photogr.,arts graphiques
bazar,commerce de détail
coiff.,commerce de détail
relieur,industrie du papier
peintre,arts graphiques
décollet.,industrie textile
fondeur,industrie des métaux
appareilleur,"construction,charpenterie"
peintre,arts graphiques
compt.,"banques,établissements financiers"
peintre,arts graphiques
ex-boulang.,produits alimentaires
machin.,industrie des métaux
blanchis.,employées pour le ménage et la ferme
peintre,arts graphiques
lingère,"vêtements, lingerie,chaussures,literies"
prof. de musique,arts graphiques
primeurs,produits alimentaires
couvreur,"construction,charpenterie"
cafetier,"hôtellerie,restauration"
journalière,"journalières,entretien"
cout.,industrie textile
serrur.,industrie des métaux
repass.,industrie textile
cout.,industrie textile
cout.,industrie textile
secrét. du Théâtre,"agences,locations,consultations"
domestique,employées pour le ménage et la ferme
cré.,"employés pour tous,célibataires"
colporteur,commerce de détail
forain,commerce de détail
cuisin.,produits alimentaires
étudi.,"agences,locations,consultations"
étudi.,"agences,locations,consultations"
tapiss.,"bois,liège,meubles"
contr. T. L.,"construction,charpenterie"
voyageur,transports
naire,"journalières,entretien"
tapiss.,"bois,liège,meubles"
café,"hôtellerie,restauration"
journalière,"journalières,entretien"
sellier,
aide-magas.,commerce de détail
gypsier.,industrie des métaux
emp. T. L.,"employés pour tous,célibataires"
ouvrier,industrie du papier
décor.,arts graphiques
gardien Pénitenc.,administration publique
cout.,industrie textile
anc. nég.,commerce de détail
expert forestier,"bois,liège,meubles"
tapissier,"construction,charpenterie"
commis postal,"agences,locations,consultations"
charretier.,transports
visit. CFF,transports
télégraph.,transports
journalière.,"journalières,entretien"
médecin,"agences,locations,consultations"
chauss.,"vêtements, lingerie,chaussures,literies"
méc.,industrie des métaux
domest.,employées pour le ménage et la ferme
prof.,bureaux de consultation
cond. typo,réparations
man,"employés pour tous,célibataires"
fabric.,industrie textile
tailleur de pierres,pierre et terre
secrét.,bureaux de consultation
sellier,
tabacs,commerce de détail
prof. de musique,arts graphiques
secrét.,"agences,locations,consultations"
tapiss.,"bois,liège,meubles"
manœuv.,"journaliers,entretien"
charpentier,"construction,charpenterie"
combustibles,"gaz,eau,éléctricité"
rent.,"affaires immobilières,location"
télégraphiste,"gaz,eau,éléctricité"
coiffeuse,commerce de détail
prof. de piano,arts graphiques
vendeuse,commerce de détail
serrurier,industrie des métaux
princesse,administration publique
verrier,pierre et terre
fille d'office,employées pour le ménage et la ferme
café,"hôtellerie,restauration"
menuis.,"bois,liège,meubles"
cout.,"construction,charpenterie"
colonel instruct.,administration publique
fact.,industrie du papier
menuis.,"construction,charpenterie"
sommemelière,"hôtellerie,restauration"
chauffeur,transports
cout.,industrie textile
mécan. C. F. F.,industrie des métaux
peintre,arts graphiques
cordonn.,industrie textile
empl. de com.,commerce de détail
curé,administration publique
tourn.,industrie textile
rent.,"affaires immobilières,location"
cafetier,"hôtellerie,restauration"
blanchisseuse,employées pour le ménage et la ferme
nég.,"banques,établissements financiers"
chauffeur,transports
masseur,réparations
blanch.,industrie textile
reviseur C. F. F.,transports
chauff. CFF.,transports
charretier,transports
voyageur,transports
maîtresse d'école enfantine,administration publique
journalier,"journaliers,entretien"
cordonn.,"vêtements, lingerie,chaussures,literies"
sténo.,bureaux de consultation
médecin,"agences,locations,consultations"
cout.,industrie textile
emp.,"employés pour tous,célibataires"
sténogr,arts graphiques
cultivateur,employées pour le ménage et la ferme
sage-femme,employées pour le ménage et la ferme
infirmière,employées pour le ménage et la ferme
prof.,bureaux de consultation
téléph.,transports
gypsier-peintre,arts graphiques
dom.,"employés pour tous,célibataires"
emp.,"employés pour tous,célibataires"
serrur.,industrie des métaux
commis C. F. F.,transports
emp. CFF.,transports
commis de banque,"banques,établissements financiers"
ingén.,administration publique
chef de bureau C.F.F.,bureaux de consultation
garde forestier,administration publique
empl. Economat C. F. F.,commerce de détail
médecin,bureaux de consultation
ling.,"vêtements, lingerie,chaussures,literies"
agriculteur,employées pour le ménage et la ferme
journalier,"journaliers,entretien"
ouv. S. I.,industrie chimique
agricul.,employées pour le ménage et la ferme
commis C. F. F.,transports
journal.,arts graphiques
electr.,"gaz,eau,éléctricité"
empl,"employés pour tous,célibataires"
empl,"employés pour tous,célibataires"
curé,administration publique
rissant,réparations
trôle des habit.,"vêtements, lingerie,chaussures,literies"
photogr.,arts graphiques
pensionnatt,"hôtellerie,restauration"
Dép. des Trav. publics,administration publique
moiselles,employées pour le ménage et la ferme
propr.,"affaires immobilières,location"
Dr en droit,"agences,locations,consultations"
gouv.,administration publique
gouv.,administration publique
télégr.,transports
gouv.,administration publique
poêlier,industrie du papier
secrét.,"agences,locations,consultations"
g.-mal.,"employés pour tous,célibataires"
serrurier,industrie des métaux
visiteur CFF,transports
secrétaire,bureaux de consultation
serrur,réparations
commer.,commerce de détail
cordon.,industrie textile
domest.,employées pour le ménage et la ferme
profess.,"agences,locations,consultations"
cout.,industrie textile
industr.,industrie chimique
tapissiers,"bois,liège,meubles"
cond. typo.,"construction,charpenterie"
peintre,arts graphiques
aide,"agences,locations,consultations"
décolleteur,industrie du papier
charpentier,"construction,charpenterie"
man,"employés pour tous,célibataires"
empl. L.O.,"employés pour tous,célibataires"
cordon.,industrie textile
maître de pension,"hôtellerie,restauration"
serrur.,industrie des métaux
chef d’étage,"hôtellerie,restauration"
ag. de police,administration publique
charron,"construction,charpenterie"
taill.,industrie du papier
garde-malade,employées pour le ménage et la ferme
maréchal,réparations
tier,pierre et terre
emp.,"employés pour tous,célibataires"
sculpteur,arts graphiques
cout.,industrie textile
café,"hôtellerie,restauration"
tapiss.,"bois,liège,meubles"
tailleur,"vêtements, lingerie,chaussures,literies"
diaconesse,employées pour le ménage et la ferme
antiquaire,commerce de détail
sténo-dact.,arts graphiques
cond. pompe auto.,réparations
jard.,"journaliers,entretien"
menuis.,"bois,liège,meubles"
fleuriste,commerce de détail
dactyl.,arts graphiques
empl. de banque,"banques,établissements financiers"
sténogr.,bureaux de consultation
scieur,"bois,liège,meubles"
lingère,"vêtements, lingerie,chaussures,literies"
prof. de piano,arts graphiques
g. de peine,"journaliers,entretien"
chauffeur,transports
marbrier,pierre et terre
secrétaire,bureaux de consultation
emplové,"employés pour tous,célibataires"
bouch. de détail,commerce de détail
voyag.,transports
garç. de mag.,commerce de détail
vendeuse,commerce de détail
empl. post.,"employés pour tous,célibataires"
serrurier,industrie des métaux
imprim.,arts graphiques
insp. de la Sûreté,administration publique
empl. post al,"agences,locations,consultations"
charpentier,"construction,charpenterie"
avocat,"agences,locations,consultations"
serrur.,industrie des métaux
aubergiste,"hôtellerie,restauration"
électricien C. F. F.,"gaz,eau,éléctricité"
galocher,réparations
méc.,industrie des métaux
empl. B.C.V.,"banques,établissements financiers"
dactyl.,arts graphiques
technicien,bureaux de consultation
institutrice,"agences,locations,consultations"
employé S. I.,"agences,locations,consultations"
électricien,"gaz,eau,éléctricité"
commissionn.,commerce de gros
hôtel-rest.,"hôtellerie,restauration"
tabacs,commerce de détail
commis C.F.F.,"banques,établissements financiers"
lingère,"vêtements, lingerie,chaussures,literies"
empl. T. L.,"employés pour tous,célibataires"
ferblantier,industrie des métaux
emp. banque,"banques,établissements financiers"
ling.,"vêtements, lingerie,chaussures,literies"
épic.,produits alimentaires
serrurier,industrie des métaux
garçon de. peine,"journaliers,entretien"
électricien,"gaz,eau,éléctricité"
g.-malade,"journalières,entretien"
laiterie,produits alimentaires
cout.,industrie textile
confiseur,produits alimentaires
clerc d’avocat,"agences,locations,consultations"
secrétaire,bureaux de consultation
prof.,administration publique
fondeur,industrie des métaux
f. de chambre,employées pour le ménage et la ferme
électricien,"gaz,eau,éléctricité"
colporteur,commerce de détail
ouvr. CFF.,transports
visit. C. F. F.,"agences,locations,consultations"
bûcheron,"bois,liège,meubles"
passementier,industrie textile
emp.,"employés pour tous,célibataires"
prof. de piano,arts graphiques
peintre,arts graphiques
compt.,bureaux de consultation
pâtissier,produits alimentaires
cout.,industrie textile
jardin.,"journaliers,entretien"
tapiss.,"bois,liège,meubles"
seur,employées pour le ménage et la ferme
ferbl.,industrie des métaux
empl. L.-O.,"employés pour tous,célibataires"
rent.,"affaires immobilières,location"
d. de récep.,"hôtellerie,restauration"
lieutenant-colonel instructeur,administration publique
tier,pierre et terre
fromager,produits alimentaires
confiserie,produits alimentaires
serrurier,industrie des métaux
cuisinier,"hôtellerie,restauration"
cuisinier,"hôtellerie,restauration"
contr. wagons-restaur.,"hôtellerie,restauration"
vendeuse,commerce de détail
cout.,industrie textile
gypiser,"construction,charpenterie"
représen.,"agences,locations,consultations"
appar.,réparations
phot.,arts graphiques
commerçant,commerce de détail
tech.,industrie chimique
géomèt.,"agences,locations,consultations"
serrurier,industrie des métaux
blanchisseuse,employées pour le ménage et la ferme
pâtissier,produits alimentaires
confiseur,produits alimentaires
anc. cafetier,"hôtellerie,restauration"
avocat,bureaux de consultation
cafetier,"hôtellerie,restauration"
restaurat.,"hôtellerie,restauration"
empl. de banque,"banques,établissements financiers"
chauff. C. G. N.,transports
avocats,bureaux de consultation
appar. chauff. électr.,"gaz,eau,éléctricité"
nég.,"banques,établissements financiers"
lustrerie électrique,"gaz,eau,éléctricité"
tailleur,"vêtements, lingerie,chaussures,literies"
aide,"agences,locations,consultations"
tapiss.,"bois,liège,meubles"
représentant,commerce de gros
emp.,"employés pour tous,célibataires"
direct. du Bureau cental d’assistance,assurances privées
journal.,arts graphiques
nég.,"banques,établissements financiers"
g. de peine,"journaliers,entretien"
com. CFF.,transports
cuisin.,produits alimentaires
leur,"bois,liège,meubles"
ouv. de ville,"journaliers,entretien"
empl. L.-O.,"employés pour tous,célibataires"
caiss.,commerce de détail
lînère,"vêtements, lingerie,chaussures,literies"
man,"employés pour tous,célibataires"
pensionnat,"agences,locations,consultations"
voyag.,transports
garç. de bureau,bureaux de consultation
typo.,réparations
jardin.,"journaliers,entretien"
fondé de pouvoirs S.B.S.,"banques,établissements financiers"
tripier,produits alimentaires
m. graveur,"bijouterie,gravure,frappe"
appareill.,"construction,charpenterie"
sténog.,bureaux de consultation
cordonnier,"vêtements, lingerie,chaussures,literies"
instit.,administration publique
institut.,administration publique
chauf.,transports
journalier,"journaliers,entretien"
serrur. CFF.,industrie des métaux
lingère,"vêtements, lingerie,chaussures,literies"
caoutchoutier,industrie chimique
compt.,bureaux de consultation
propr. agricuL,employées pour le ménage et la ferme
chauffeur C. G. N.,transports
domest.,employées pour le ménage et la ferme
g. de rest.,"hôtellerie,restauration"
dess.,arts graphiques
g.-malade,"employés pour tous,célibataires"
tailleur,"vêtements, lingerie,chaussures,literies"
cout.,industrie textile
chef de service S. I.,administration publique
employé post.,administration publique
mécanicien,réparations
reprês.,réparations
empl. au Pénitencier,administration publique
chapelller.,"bijouterie,gravure,frappe"
cout.,industrie textile
cuisinière,"hôtellerie,restauration"
empl. de banque,"banques,établissements financiers"
police,administration publique
prof.,administration publique
charcutier,produits alimentaires
cout.,"construction,charpenterie"
m. lingère,"vêtements, lingerie,chaussures,literies"
confect.,"vêtements, lingerie,chaussures,literies"
chaussures,"vêtements, lingerie,chaussures,literies"
directeur,administration publique
man,"employés pour tous,célibataires"
instit.,administration publique
caoutchouc,industrie chimique
nég.,"banques,établissements financiers"
étud.,"agences,locations,consultations"
chaudron.,industrie des métaux
journalière,"journalières,entretien"
reprès.,commerce de détail
tonnelier,"bois,liège,meubles"
charretier,transports
caoutchoucs,industrie chimique
coutur,"vêtements, lingerie,chaussures,literies"
commerc.,commerce de détail
tailleur,"vêtements, lingerie,chaussures,literies"
commerc.,commerce de détail
import.,commerce de gros
emp.,"employés pour tous,célibataires"
art. peint.,arts graphiques
entrepreneur,"agences,locations,consultations"
emp.,"employés pour tous,célibataires"
empl,"employés pour tous,célibataires"
vitrier,"construction,charpenterie"
demr. col.,administration publique
reprès.,commerce de détail
étud.,"agences,locations,consultations"
ménag,employées pour le ménage et la ferme
brod.,industrie textile
empl. C.F.F.,transports
nég.,"banques,établissements financiers"
pension,assurances privées
voyag.,transports
caissier B. P. S.,"banques,établissements financiers"
docteur,bureaux de consultation
cuisin.,produits alimentaires
ag. de pol.,administration publique
empl. B. C. V.,"employés pour tous,célibataires"
avocat,"agences,locations,consultations"
commerc.,commerce de détail
blanchisseur,industrie textile
empl. de bureau,bureaux de consultation
cordonnier,"vêtements, lingerie,chaussures,literies"
compositeur,arts graphiques
empl,"employés pour tous,célibataires"
commerc.,commerce de détail
institutrice,"agences,locations,consultations"
charretier,transports
jardin.,"journaliers,entretien"
nég.,"banques,établissements financiers"
chaussures,"vêtements, lingerie,chaussures,literies"
sténog.,bureaux de consultation
journalier,"journaliers,entretien"
lingère,"vêtements, lingerie,chaussures,literies"
cordonn.,"vêtements, lingerie,chaussures,literies"
employé trams,transports
dessinat.,arts graphiques
institutrice,"agences,locations,consultations"
emp.,"employés pour tous,célibataires"
lingère,"vêtements, lingerie,chaussures,literies"
journalier,"journaliers,entretien"
g:malade,"employés pour tous,célibataires"
typo.,réparations
repass.,industrie textile
électr.,"gaz,eau,éléctricité"
charretier,transports
ouvr. de ville,administration publique
jardin.,"journaliers,entretien"
boucheries,produits alimentaires
jard.,"journaliers,entretien"
agriculteur,employées pour le ménage et la ferme
conduc. T. L.,transports
g. de mag.,commerce de détail
tapissier,"bois,liège,meubles"
courtepoin- tière,industrie textile
institutrice,"agences,locations,consultations"
employé C. F. F.,industrie des métaux
cout.,industrie textile
coiff.,commerce de détail
piqueur,"journaliers,entretien"
entre- preneur,"agences,locations,consultations"
empl,"employés pour tous,célibataires"
magas.,commerce de détail
retr. CFF.,transports
ciment.,pierre et terre
sténog.,bureaux de consultation
secrét.,"agences,locations,consultations"
m. cout.,industrie textile
cafetier,"hôtellerie,restauration"
entrepr.,"construction,charpenterie"
employé de commerce,commerce de détail
repasseuse,industrie textile
march. de bois,"bois,liège,meubles"
aide compt.,"banques,établissements financiers"
peintre,arts graphiques
tailleur,industrie textile
Dlle de bur.,employées pour le ménage et la ferme
élève,administration publique
veilleuse,horlogerie
fonct. postal,administration publique
pelleteries,industrie textile
blanchisseuse,employées pour le ménage et la ferme
monteur,réparations
horloger,horlogerie
préparat,produits alimentaires
"emp. B, C. V.","employés pour tous,célibataires"
s.-chef jardin. de la ville,administration publique
entre- pren.,"construction,charpenterie"
mécàn,industrie des métaux
lieut. de gend.,administration publique
primeurs,produits alimentaires
épicerie-laiterie,produits alimentaires
méc.,industrie des métaux
pensionnat,"agences,locations,consultations"
chauffeur,transports
confiseur,produits alimentaires
pharmac.,industrie chimique
dessinat.,arts graphiques
ingénieur,administration publique
bûcheron,"bois,liège,meubles"
télégr.,transports
prof. piano,arts graphiques
tailleur,"vêtements, lingerie,chaussures,literies"
élect.,"gaz,eau,éléctricité"
fossoyeur,"journaliers,entretien"
relieur,industrie du papier
macon,"construction,charpenterie"
gard. au pénitencier,administration publique
reprèscnt.,"agences,locations,consultations"
cout.,industrie textile
chauff.-méc,réparations
prof. de médic.,bureaux de consultation
peintre,arts graphiques
laitier,produits alimentaires
étud.,"agences,locations,consultations"
jardin.,"journaliers,entretien"
électricien,"gaz,eau,éléctricité"
ouvr. de ville,administration publique
f. de eh.,"employés pour tous,célibataires"
parqueteur,"construction,charpenterie"
instit.,administration publique
vendeuse,commerce de détail
reprès.,commerce de détail
voyageur,transports
