job,answer
empileur,"journaliers,entretien"
employé au crédit foncier,"banques,établissements financiers"
employé au magasin général d'habillement,"vêtements, lingerie,chaussures,literies"
employé au ministère de la marine,administration publique
employé au service des eaux de la ville,"gaz,eau,éléctricité"
employé au télégraphe de nehou,transports
employé d'agent de change,"banques,établissements financiers"
employé de bureau médaillé militaire et croix de guerre,administration publique
employé de michelin,industrie des métaux
employé des contributions directes,administration publique
employé du métro,transports
employé egf,"employés pour tous,célibataires"
employé municipal,administration publique
employé p et c,"employés pour tous,célibataires"
employé plm,"agences,locations,consultations"
employé rnur,"employés pour tous,célibataires"
employé à la cie d'orléans,commerce de gros
employé à la compagnie du gaz,"gaz,eau,éléctricité"
employée cff,transports
employée de chemin de fer,transports
employée des tramways,transports
employée municipale,administration publique
entrepositaire,commerce de gros
entrepreneur -peintre,arts graphiques
entrepreneur de travaux de chemin de fer,"construction,charpenterie"
entrepreneur forestier,"bois,liège,meubles"
epinceuse,industrie textile
espinassier,produits alimentaires
etudiante en musique,arts graphiques
ex,industrie chimique
ex administrateur du louvre,administration publique
ex douanier,administration publique
ex propriétaire,"affaires immobilières,location"
fabricant d'ornements église,"bijouterie,gravure,frappe"
fabricant de chocolat,produits alimentaires
fabricant mégissier,industrie du papier
fabricante de laine,industrie textile
fabricante de papier,industrie du papier
facteur de pianos,réparations
facteur de postes,administration publique
fermier cultivateur,employées pour le ménage et la ferme
fermier et cultivateur,employées pour le ménage et la ferme
fermière,employées pour le ménage et la ferme
feuillardier,industrie du papier
fileuse à la mécanique,industrie textile
fille boucher,produits alimentaires
fiscalisateur,administration publique
fonctionnaire au trésor,administration publique
footballeur professionnel,"agences,locations,consultations"
forçat à cayenne,administration publique
garde barrières,"journaliers,entretien"
garde champêtre et cultivateur,"journaliers,entretien"
garde couches,employées pour le ménage et la ferme
garde forestier-huissier,administration publique
garde pénitentiaire,administration publique
gardeur d’animaux,employées pour le ménage et la ferme
gardien de la paix crs,administration publique
garnisseur de gaînes,industrie du papier
garçon charcutier,produits alimentaires
garçon d'ascenseur,"hôtellerie,restauration"
garçon de charrue,employées pour le ménage et la ferme
garçon marchand de vin,commerce de détail
garçon maréchal ferrant,réparations
garçon peintre,arts graphiques
garçon restaurateur,"hôtellerie,restauration"
garçon traiteur,"hôtellerie,restauration"
gendarme en garnison,administration publique
geôlier,administration publique
gradeuse,"construction,charpenterie"
granger ou métayer,employées pour le ménage et la ferme
graveuse sur verre,"bijouterie,gravure,frappe"
greffier chef,administration publique
grenier,employées pour le ménage et la ferme
grurin,réparations
guide de haute montagne,transports
guimpier,industrie textile
général de brigade en retraite,administration publique
gérant de garage,réparations
gérant de la banque nationale,"banques,établissements financiers"
gérant de la cité,administration publique
horloger et bijoutier,"bijouterie,gravure,frappe"
horticulteur pépiniériste,produits alimentaires
huissier,"agences,locations,consultations"
hôtesse de restaurant,"hôtellerie,restauration"
importateur,commerce de gros
imprimeur sur tissus,industrie textile
infirmier major pensionné,administration publique
ingénieur des ponts,"construction,charpenterie"
ingénieur ponts et chaussées,"construction,charpenterie"
ingénieur-géologue,industrie des métaux
inspecteur des contributions indirectes,administration publique
inspecteur du trésor,"banques,établissements financiers"
inspecteur mécanicien,industrie des métaux
inspecteur sous-chef de police,administration publique
inspecteur éducation,administration publique
instituteur principal,"agences,locations,consultations"
jardinier aux mines,"journaliers,entretien"
jardinier diplomé,"journaliers,entretien"
journalier agricole,"journaliers,entretien"
journalier arin,"journaliers,entretien"
journalier en usine,"journaliers,entretien"
journalier et cabaretier,"hôtellerie,restauration"
journalier mineur,"journaliers,entretien"
juge au tribunal d'instance,administration publique
juge du tribunal civil et criminel de saint-omer,administration publique
laboureur,"journaliers,entretien"
lampiste,réparations
lithographe,arts graphiques
littérateuse,arts graphiques
lustreur,industrie textile
légumier,produits alimentaires
maintenanceur,réparations
maire,administration publique
major,administration publique
manoeuvre spécialisé,"journaliers,entretien"
marchand bijoutier,"bijouterie,gravure,frappe"
marchand chasseur,commerce de détail
marchand de drêche,produits alimentaires
marchand de gibier,commerce de détail
marchand de poisson,produits alimentaires
marchand droguiste,commerce de détail
marchand en gros et propriétaire,commerce de gros
marchande de journaux,commerce de détail
marchande de parapluies,commerce de détail
marissiau,vachers célibataires
maréchal des logis chef,administration publique
maréchal des logis chef d'artillerie,administration publique
matelot électricien,transports
matuchin,"bijouterie,gravure,frappe"
maçon et tailleur de pierres,pierre et terre
maître de conférences,bureaux de consultation
maître de cérémonie,"hôtellerie,restauration"
menuisier charron,"bois,liège,meubles"
metteur en scène,arts graphiques
meunier à farine,produits alimentaires
militair ex,administration publique
militaire us,administration publique
mineur et jardinier,"journaliers,entretien"
ministre du culte protestant,administration publique
moniteur d'éducation physique,réparations
monitrice maternelle,employées pour le ménage et la ferme
mouleur en sable,pierre et terre
mécanicien d'entretien,réparations
mécanicien diéséliste,industrie des métaux
mécanicien garagiste,réparations
mécanicien sur avion,transports
mécanicienne en confection,industrie textile
ménagère et epicière,commerce de détail
métayère,employées pour le ménage et la ferme
métayère cultivatrice,employées pour le ménage et la ferme
notaire propriétaire,"agences,locations,consultations"
nourrisseuse,employées pour le ménage et la ferme
négociant en volailles,produits alimentaires
négociant industriel,commerce de gros
négociante en lingerie,"vêtements, lingerie,chaussures,literies"
négociante en toile,industrie textile
officier de l'état civil,administration publique
opérateur mécanographe,bureaux de consultation
opératrice au,"banques,établissements financiers"
opératrice de téléphone,"agences,locations,consultations"
opératrice funéraire,réparations
ouvrier charcutier,produits alimentaires
ouvrier chargeur,transports
ouvrier coiffeur,réparations
ouvrier cordier,industrie textile
ouvrier cultivateur,"journaliers,entretien"
ouvrier du papier,industrie du papier
ouvrier fondeur de cuivre,industrie des métaux
ouvrier garagiste,réparations
ouvrier opticien,horlogerie
ouvrier plafonnier,"construction,charpenterie"
ouvrier tisseur de toile,industrie textile
ouvrier vannier,"bois,liège,meubles"
ouvrier vigneron,produits alimentaires
ouvrier à l'usine,industrie du papier
ouvrier-menuisier,"construction,charpenterie"
ouvrière bonnetière,industrie textile
ouvrière en chaussures,"vêtements, lingerie,chaussures,literies"
parasolier,industrie textile
passementière,industrie textile
paveuse,"construction,charpenterie"
peintre plâtrier,"construction,charpenterie"
peintre sur porcelaine,arts graphiques
peintre à l'office hlm,administration publique
peintre-débosseur,arts graphiques
pelleteur,"bois,liège,meubles"
pensionné du travail,administration publique
permanentiste,arts graphiques
peseur public,commerce de détail
petit cultivateur,employées pour le ménage et la ferme
phénicicultrice,employées pour le ménage et la ferme
piqueur voyer,"construction,charpenterie"
piqueuse à la mécanique,industrie textile
plombier monteur en chauffage central,"gaz,eau,éléctricité"
polisseur en argenterie,"bijouterie,gravure,frappe"
pompier professionnel,administration publique
porchère,employées pour le ménage et la ferme
porion mineur,pierre et terre
poseur en revêtement,"construction,charpenterie"
postier,transports
prefêt des basses-alpes,administration publique
premier clerc de notaire,bureaux de consultation
professeur technique,bureaux de consultation
propriétaire buraliste,commerce de détail
propriétaire charpentier,"construction,charpenterie"
propriétaire clerc de notaire,"agences,locations,consultations"
propriétaire et marchand,commerce de détail
propriétaire et marchande de bois,"bois,liège,meubles"
propriétaire et maître d'hôtel,"hôtellerie,restauration"
propriétaire fermière,employées pour le ménage et la ferme
propriétaire forestier,"bois,liège,meubles"
propriétaire marinier,transports
propriétaire rentière,"affaires immobilières,location"
préfet,administration publique
préposé chef aux postes,administration publique
père hôtelier restaurateur,"hôtellerie,restauration"
qualiticien,industrie chimique
quartier maître torpilleur de la marine nationale,transports
receveur principal des contributions indirectes,administration publique
regrolier,industrie du papier
relieur imprimeur,arts graphiques
représentant de compagnie,commerce de gros
représentant en machines,commerce de gros
représentant marine,commerce de gros
représentante,"agences,locations,consultations"
responsable d'équipe de chantier,"construction,charpenterie"
responsable des ventes,commerce de détail
retordeur de coton,industrie textile
retraité d'octroi,administration publique
retraité de la fonderie,industrie des métaux
retraité des travaux publics,administration publique
retraité du bâtiment,"construction,charpenterie"
retraité du gdf,"gaz,eau,éléctricité"
retraité et croix de guerre,administration publique
retraité industriel,administration publique
ripeur,industrie textile
régisseur de la ferme expérimentale,employées pour le ménage et la ferme
sabotier retraité,"bois,liège,meubles"
safranier,industrie chimique
scieur de long charpentier,"construction,charpenterie"
scieur de loses,"bois,liège,meubles"
second maître fusilier marin,administration publique
second maître à la direction des ports,administration publique
secrétaire adjoint,"agences,locations,consultations"
secrétaire archiviste,bureaux de consultation
sellier bourrelier,
sergent instructeur,administration publique
sergent-instructeur,administration publique
sergent-major,administration publique
sergeur,industrie textile
serveuse,"hôtellerie,restauration"
soldat charpentier,"construction,charpenterie"
soldat cultivateur,"journaliers,entretien"
soldat dca,administration publique
soldat de l'armée territoriale,administration publique
soldat et boucher,produits alimentaires
soldat us army,administration publique
sténodactylo,bureaux de consultation
surveillante,employées pour le ménage et la ferme
syndic de bricquebec,administration publique
tailleur couturier,"vêtements, lingerie,chaussures,literies"
tapissier en meubles,"bois,liège,meubles"
technicien dans l'aviation,transports
technicien géomètre,"agences,locations,consultations"
techniverrier,vachers célibataires
teneur de livres,bureaux de consultation
teneur de salle de pool,"hôtellerie,restauration"
tisserand,industrie textile
tisseur,industrie textile
tisseur en filoselle,industrie textile
tisseur à toile,industrie textile
tisseuse de mousseline,industrie textile
tondeur chef,réparations
touneiller,"bois,liège,meubles"
tourneur sur ivoire,"bijouterie,gravure,frappe"
travailleur au moulin murdock,industrie du papier
trompette du régiment,administration publique
truquiste,arts graphiques
trutticultrice,produits alimentaires
tueur à l'abattoir,produits alimentaires
télégraphiste postes,transports
valet de pied de la maison impériale,"employés pour tous,célibataires"
vendeur en confection,"vêtements, lingerie,chaussures,literies"
videur,réparations
vigneronne et lingère,produits alimentaires
viticultrice,produits alimentaires
vélineur,industrie du papier
zingueuse,industrie textile
écorceur,"bois,liège,meubles"
écrivain,arts graphiques
écrivain public,bureaux de consultation
électricien sur voitures,réparations
élève commissaire messageries maritimes,transports
élève de l'hospice de cambrai,"employés pour tous,célibataires"
émailleur de porcelaine,industrie du papier
émouleuse,industrie textile
adjoint au tribunal,administration publique
adjoint de gendarmerie,administration publique
adjoint technique chef,administration publique
administrateur des colonies en retraite,administration publique
affoireurs de vin,produits alimentaires
agent,"agences,locations,consultations"
agent auxiliaire de contributions,administration publique
agent de change près la bourse de lausanne,"banques,établissements financiers"
agent de colonisation,"agences,locations,consultations"
agent de portage,transports
agent de sécurité,administration publique
agent des travaux,"journaliers,entretien"
agent en douanes,administration publique
agent militaire,administration publique
agent principal d'exploitation postes,administration publique
agent télégraphiste,transports
agent à l'rsr,assurances privées
agent-voyageur de commerce,commerce de détail
agrumiculteur,produits alimentaires
aide chauffeur,transports
aide couvreur,"construction,charpenterie"
aide machiniste,industrie des métaux
aide-garde-bébé,employées pour le ménage et la ferme
aide-électricien,"gaz,eau,éléctricité"
ajusteur,réparations
ajusteur à la cff,transports
algocultrice,"agences,locations,consultations"
analyste politique,administration publique
ancien charron,industrie des métaux
ancien commis,commerce de détail
ancien employé des chemin de fer,transports
ancien militaire ménager,"employés pour tous,célibataires"
ancien serrurier,industrie des métaux
ancien sous-préfet,administration publique
ancienne commerçante,commerce de détail
antenniste,réparations
apothicairesse,industrie chimique
appondeur,réparations
armurier,industrie des métaux
artisan chaudronnier,industrie des métaux
artisan litier,"vêtements, lingerie,chaussures,literies"
artisan serrurier,industrie des métaux
artiste funambule,arts graphiques
assembleuse,industrie textile
assistant-technicien,bureaux de consultation
aubergiste et tonnelier,"hôtellerie,restauration"
autoélectricien,réparations
avocat à la cour de lausanne,"agences,locations,consultations"
betteravier,produits alimentaires
biscottier,produits alimentaires
blanchisseur de fils,industrie textile
blaonnier,industrie textile
boiseuse,"bois,liège,meubles"
bonne d'enfants,employées pour le ménage et la ferme
boucher,produits alimentaires
boucher et marchand de vaches,produits alimentaires
bouvière,employées pour le ménage et la ferme
brasseur,produits alimentaires
brigadier des douanes en retraite,administration publique
brigadier national des impôts,administration publique
buffetier,"hôtellerie,restauration"
buronnier,"employés pour tous,célibataires"
bédéiste,arts graphiques
bétuliculteur,industrie du papier
cabinettarde,réparations
cadre de banque retraité chevalier légion d'honneur,"banques,établissements financiers"
canonnier de marine,transports
canonnier marin,transports
cantinière,"hôtellerie,restauration"
capitaine de navire,transports
capitaine en retraite,administration publique
capitaine propriétaire,transports
cardeur à laine,industrie textile
cariste,transports
cartonnière,industrie du papier
cavalier de la maréchaussée,administration publique
chandelon,industrie du papier
chanteur ambulant,arts graphiques
chanvrier,"construction,charpenterie"
charcutier,produits alimentaires
chargeur de pain,produits alimentaires
charpentier sur fer,"construction,charpenterie"
charpentier à bateaux,"construction,charpenterie"
charpentier-menuisier,"construction,charpenterie"
charron et carrossier,"construction,charpenterie"
chaudronnier monteur traceur,industrie des métaux
chauffeur automobile,transports
chef d'escadron au régiment d'artillerie,administration publique
chef d'équipe aux chemins de fer,transports
chef de bataillon vicomte,administration publique
chef de brigade de gendarmerie,administration publique
chef de district aux chemins de fer,transports
chef de groupe comptable,"banques,établissements financiers"
chef de secrétariat,bureaux de consultation
chef gendarme,administration publique
chef jardinier communal,"journaliers,entretien"
chemisier,"vêtements, lingerie,chaussures,literies"
chercheur d’or,pierre et terre
chevalier de l'ordre saint-jean de jérusalem,administration publique
chevalier et sieur de beaurepaire,administration publique
chicoretier,produits alimentaires
chirurgien-accoucheur,"agences,locations,consultations"
cocher au château,"employés pour tous,célibataires"
coiffeur,commerce de détail
commerçant artisan,commerce de détail
commerçant forain,commerce de détail
commis convoyeur,transports
commis herboriste,industrie chimique
commis marchand de porcs,commerce de gros
commissaire de la marine,administration publique
commissionnaire en bestiaux,"employés pour tous,célibataires"
commissionnaire à la marine,transports
compositeur lithographe,arts graphiques
comptable à la banque nationale,"banques,établissements financiers"
comtesse,administration publique
conducteur,transports
conducteur de machines,industrie des métaux
conducteur receveur,transports
conseiller agricole,bureaux de consultation
conseiller financier,"banques,établissements financiers"
conseiller provincial,administration publique
conseiller pédagogique,bureaux de consultation
conseiller technique,bureaux de consultation
conservateur des estampes au ministère des beaux arts,arts graphiques
contre-maître,industrie du papier
contremaître menuisier,"construction,charpenterie"
contremaître à la filature de coton,industrie textile
coquassier,produits alimentaires
cordonnier et aubergiste,
couleur en zinc,industrie chimique
coupeur de chemises,industrie textile
coupeur de tabac,industrie du papier
courrier aux postes et télécommmunications,transports
couturière à façon,industrie textile
couvreur de cylindres,industrie du papier
couvreur en ardoises,"construction,charpenterie"
couvreuse,industrie textile
crêmier,produits alimentaires
cultivateur-charron,"construction,charpenterie"
demoiselle de compagnie,employées pour le ménage et la ferme
dessinateur architecte,arts graphiques
dessinateur en bâtiment,arts graphiques
dessinateur à l'électricité de suisse,arts graphiques
directeur d'exploitation,"agences,locations,consultations"
directeur d'hospice,administration publique
directeur d'université,administration publique
directeur d'école publique,administration publique
directeur de l'enregistrement,administration publique
directeur de la caisse départementale des incendies de côte,administration publique
directeur de la colonie de courcelles,administration publique
directeur des impôts,administration publique
directeur général du domaine impérial de cette colonie,administration publique
directeur général à la csr des deux-rivières,administration publique
docteur en médecine et syndic,administration publique
domestique rural,employées pour le ménage et la ferme
débitant de vins,commerce de détail
découpeur,industrie textile
ecrivain public,bureaux de consultation
electricien à l'alcan,"gaz,eau,éléctricité"
emballeur,commerce de détail
empileur,"journaliers,entretien"
employé au crédit foncier,"banques,établissements financiers"
employé au magasin général d'habillement,"vêtements, lingerie,chaussures,literies"
employé au ministère de la marine,administration publique
employé au service des eaux de la ville,"gaz,eau,éléctricité"
employé au télégraphe de nehou,transports
employé d'agent de change,"banques,établissements financiers"
employé de bureau médaillé militaire et croix de guerre,administration publique
employé de michelin,industrie des métaux
employé des contributions directes,administration publique
employé du métro,transports
employé egf,"employés pour tous,célibataires"
employé municipal,administration publique
employé p et c,"employés pour tous,célibataires"
employé plm,"agences,locations,consultations"
employé rnur,"employés pour tous,célibataires"
employé à la cie d'orléans,commerce de gros
employé à la compagnie du gaz,"gaz,eau,éléctricité"
employée cff,transports
employée de chemin de fer,transports
employée des tramways,transports
employée municipale,administration publique
entrepositaire,commerce de gros
entrepreneur -peintre,arts graphiques
entrepreneur de travaux de chemin de fer,"construction,charpenterie"
entrepreneur forestier,"bois,liège,meubles"
epinceuse,industrie textile
espinassier,produits alimentaires
etudiante en musique,arts graphiques
ex,"vêtements, lingerie,chaussures,literies"
ex administrateur du louvre,administration publique
ex douanier,administration publique
ex propriétaire,"agences,locations,consultations"
fabricant d'ornements église,"bijouterie,gravure,frappe"
fabricant de chocolat,produits alimentaires
fabricant mégissier,industrie du papier
fabricante de laine,industrie textile
fabricante de papier,industrie du papier
facteur de pianos,"bois,liège,meubles"
facteur de postes,administration publique
fermier cultivateur,employées pour le ménage et la ferme
fermier et cultivateur,employées pour le ménage et la ferme
fermière,employées pour le ménage et la ferme
feuillardier,industrie du papier
fileuse à la mécanique,industrie textile
fille boucher,produits alimentaires
fiscalisateur,administration publique
fonctionnaire au trésor,administration publique
footballeur professionnel,"agences,locations,consultations"
forçat à cayenne,administration publique
garde barrières,"journaliers,entretien"
garde champêtre et cultivateur,employées pour le ménage et la ferme
garde couches,employées pour le ménage et la ferme
garde forestier-huissier,administration publique
garde pénitentiaire,administration publique
gardeur d’animaux,"employés pour tous,célibataires"
gardien de la paix crs,administration publique
garnisseur de gaînes,industrie du papier
garçon charcutier,produits alimentaires
garçon d'ascenseur,"hôtellerie,restauration"
garçon de charrue,employées pour le ménage et la ferme
garçon marchand de vin,commerce de détail
garçon maréchal ferrant,réparations
garçon peintre,arts graphiques
garçon restaurateur,"hôtellerie,restauration"
garçon traiteur,"hôtellerie,restauration"
gendarme en garnison,administration publique
geôlier,administration publique
gradeuse,"construction,charpenterie"
granger ou métayer,employées pour le ménage et la ferme
graveuse sur verre,"bijouterie,gravure,frappe"
greffier chef,administration publique
grenier,employées pour le ménage et la ferme
grurin,réparations
guide de haute montagne,transports
guimpier,industrie textile
général de brigade en retraite,administration publique
gérant de garage,réparations
gérant de la banque nationale,"banques,établissements financiers"
gérant de la cité,administration publique
horloger et bijoutier,"bijouterie,gravure,frappe"
horticulteur pépiniériste,produits alimentaires
huissier,"agences,locations,consultations"
hôtesse de restaurant,"hôtellerie,restauration"
importateur,commerce de gros
imprimeur sur tissus,industrie textile
infirmier major pensionné,administration publique
ingénieur des ponts,"construction,charpenterie"
ingénieur ponts et chaussées,"construction,charpenterie"
ingénieur-géologue,industrie des métaux
inspecteur des contributions indirectes,administration publique
inspecteur du trésor,"banques,établissements financiers"
inspecteur mécanicien,industrie des métaux
inspecteur sous-chef de police,administration publique
inspecteur éducation,administration publique
instituteur principal,administration publique
jardinier aux mines,"journaliers,entretien"
jardinier diplomé,"journaliers,entretien"
journalier agricole,"journaliers,entretien"
journalier arin,"journaliers,entretien"
journalier en usine,"journaliers,entretien"
journalier et cabaretier,"hôtellerie,restauration"
journalier mineur,"journaliers,entretien"
juge au tribunal d'instance,administration publique
juge du tribunal civil et criminel de saint-omer,administration publique
laboureur,"journaliers,entretien"
lampiste,réparations
lithographe,arts graphiques
littérateuse,arts graphiques
lustreur,industrie textile
légumier,produits alimentaires
maintenanceur,réparations
maire,administration publique
major,administration publique
manoeuvre spécialisé,"journaliers,entretien"
marchand bijoutier,"bijouterie,gravure,frappe"
marchand chasseur,commerce de détail
marchand de drêche,produits alimentaires
marchand de gibier,commerce de détail
marchand de poisson,commerce de détail
marchand droguiste,commerce de détail
marchand en gros et propriétaire,commerce de gros
marchande de journaux,commerce de détail
marchande de parapluies,commerce de détail
marissiau,vachers célibataires
maréchal des logis chef,administration publique
maréchal des logis chef d'artillerie,administration publique
matelot électricien,transports
matuchin,industrie du papier
maçon et tailleur de pierres,pierre et terre
maître de conférences,bureaux de consultation
maître de cérémonie,"hôtellerie,restauration"
menuisier charron,"bois,liège,meubles"
metteur en scène,arts graphiques
meunier à farine,produits alimentaires
militair ex,administration publique
militaire us,administration publique
mineur et jardinier,"journaliers,entretien"
ministre du culte protestant,administration publique
moniteur d'éducation physique,administration publique
monitrice maternelle,employées pour le ménage et la ferme
mouleur en sable,pierre et terre
mécanicien d'entretien,réparations
mécanicien diéséliste,industrie des métaux
mécanicien garagiste,réparations
mécanicien sur avion,transports
mécanicienne en confection,industrie textile
ménagère et epicière,commerce de détail
métayère,employées pour le ménage et la ferme
métayère cultivatrice,employées pour le ménage et la ferme
notaire propriétaire,"agences,locations,consultations"
nourrisseuse,employées pour le ménage et la ferme
négociant en volailles,produits alimentaires
négociant industriel,commerce de gros
négociante en lingerie,"vêtements, lingerie,chaussures,literies"
négociante en toile,industrie textile
officier de l'état civil,administration publique
opérateur mécanographe,bureaux de consultation
opératrice au,employées pour le ménage et la ferme
opératrice de téléphone,"agences,locations,consultations"
opératrice funéraire,"agences,locations,consultations"
ouvrier charcutier,produits alimentaires
ouvrier chargeur,transports
ouvrier coiffeur,commerce de détail
ouvrier cordier,industrie textile
ouvrier cultivateur,"journaliers,entretien"
ouvrier du papier,industrie du papier
ouvrier fondeur de cuivre,industrie des métaux
ouvrier garagiste,réparations
ouvrier opticien,
ouvrier plafonnier,"construction,charpenterie"
ouvrier tisseur de toile,industrie textile
ouvrier vannier,"bois,liège,meubles"
ouvrier vigneron,produits alimentaires
ouvrier à l'usine,industrie textile
ouvrier-menuisier,"construction,charpenterie"
ouvrière bonnetière,industrie textile
ouvrière en chaussures,"vêtements, lingerie,chaussures,literies"
parasolier,industrie textile
passementière,industrie textile
paveuse,"construction,charpenterie"
peintre plâtrier,"construction,charpenterie"
peintre sur porcelaine,arts graphiques
peintre à l'office hlm,administration publique
peintre-débosseur,arts graphiques
pelleteur,"bois,liège,meubles"
pensionné du travail,administration publique
permanentiste,arts graphiques
peseur public,commerce de détail
petit cultivateur,employées pour le ménage et la ferme
phénicicultrice,employées pour le ménage et la ferme
piqueur voyer,"construction,charpenterie"
piqueuse à la mécanique,industrie textile
plombier monteur en chauffage central,"gaz,eau,éléctricité"
polisseur en argenterie,"bijouterie,gravure,frappe"
pompier professionnel,administration publique
porchère,employées pour le ménage et la ferme
porion mineur,industrie des métaux
