JOB,job_clf,salaire,POS,COOR
empi,"employés pour tous,célibataires",111.1519208054447,"Rue du Maupas, Lausanne, District de Lausanne, Vaud, 1002, Schweiz/Suisse/Svizzera/Svizra","(46.5240407, 6.6269404)"
ébéniste,"bois,liège,meubles",384.5255638674845,,
instituteur,"agences,locations,consultations",433.2349963440017,"63, Rue de la Borde, Lausanne, District de Lausanne, Vaud, 1018, Schweiz/Suisse/Svizzera/Svizra","(46.5320255, 6.6297806)"
comm. postal,transports,394.39619776140415,"Avenue Louis-Ruchonnet 29 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.53066727808447, 6.630189867219594)"
comm. postal,transports,394.39619776140415,"Avenue Louis-Ruchonnet 29 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.5344773045437, 6.646987218568312)"
courtier,"agences,locations,consultations",433.2349963440017,,
"empi, postal",transports,394.39619776140415,"14, Chemin de Boston, Lausanne, District de Lausanne, Vaud, 1004, Schweiz/Suisse/Svizzera/Svizra","(46.5239463, 6.6196741)"
ébéniste,"bois,liège,meubles",384.5255638674845,,
tissus,industrie textile,405.9834636368753,"Avenue de la Gare 22 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.51355606532233, 6.630514602349948)"
comm.,commerce de détail,384.7401428651783,"À l'Émeraude, 12, Place Saint-François, Lausanne, District de Lausanne, Vaud, 1003, Schweiz/Suisse/Svizzera/Svizra","(46.5194702, 6.6343495)"
droguiste,commerce de détail,384.7401428651783,,
caissière,commerce de détail,384.7401428651783,,
typo,réparations,345.78653768508855,"Avenue de l'Université, Lausanne, District de Lausanne, Vaud, 1014, Schweiz/Suisse/Svizzera/Svizra","(46.5251416, 6.6355766)"
employé,"employés pour tous,célibataires",111.1519208054447,"Boulevard de Grancy, Lausanne, District de Lausanne, Vaud, 1001, Schweiz/Suisse/Svizzera/Svizra","(46.5164811, 6.6255825)"
représen,"agences,locations,consultations",433.2349963440017,"12, Avenue Louis-Ruchonnet, Lausanne, District de Lausanne, Vaud, 1003, Schweiz/Suisse/Svizzera/Svizra","(46.5185941, 6.6263975)"
bottier,"vêtements, lingerie,chaussures,literies",399.9752517014458,"Boulevard de Grancy, Lausanne, District de Lausanne, Vaud, 1001, Schweiz/Suisse/Svizzera/Svizra","(46.5164811, 6.6255825)"
mécan,industrie des métaux,404.9105686484057,,
"empi, postal",transports,394.39619776140415,"Avenue de Morges 55 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.523557316739584, 6.65437629135408)"
employé de banque,"banques,établissements financiers",452.9762641318413,"2, Avenue d'Yverdon, Lausanne, District de Lausanne, Vaud, 1004, Schweiz/Suisse/Svizzera/Svizra","(46.5281964, 6.617208)"
ménagère,employées pour le ménage et la ferme,81.75459812137922,"24, Rue Pré-du-Marché, Lausanne, District de Lausanne, Vaud, 1003, Schweiz/Suisse/Svizzera/Svizra","(46.524003, 6.6300133)"
coutur,"vêtements, lingerie,chaussures,literies",399.9752517014458,"36a, Rue du Maupas, Lausanne, District de Lausanne, Vaud, 1004, Schweiz/Suisse/Svizzera/Svizra","(46.5260889, 6.6245199)"
couturière,"vêtements, lingerie,chaussures,literies",399.9752517014458,"2, Rue Mauborget, Lausanne, District de Lausanne, Vaud, 1003, Schweiz/Suisse/Svizzera/Svizra","(46.5229925, 6.6292279)"
mén,employées pour le ménage et la ferme,81.75459812137922,"16, Chemin du Pré-d'Yverdon, Épalinges, District de Lausanne, Vaud, 1066, Schweiz/Suisse/Svizzera/Svizra","(46.5430689, 6.672697)"
facteur,transports,394.39619776140415,"Rue Mauborget 2 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.52018575171094, 6.654431151765542)"
modiste,"vêtements, lingerie,chaussures,literies",399.9752517014458,"Rue Mercerie, Lausanne, District de Lausanne, Vaud, 1003, Schweiz/Suisse/Svizzera/Svizra","(46.521573, 6.6346446)"
boulanger,produits alimentaires,421.8623094662245,"Avenue Frédéric-Recordon 25 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.523396811418046, 6.652553014946099)"
comptable,"banques,établissements financiers",452.9762641318413,"57, Rue du Maupas, Lausanne, District de Lausanne, Vaud, 1004, Schweiz/Suisse/Svizzera/Svizra","(46.5256833, 6.624039)"
emp. post,administration publique,440.1967408530476,,
Vve,administration publique,440.1967408530476,"Chemin des Vignes-d'Argent 10 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.525183689751145, 6.652568850853884)"
empi,"employés pour tous,célibataires",111.1519208054447,"18, Chemin des Fleurettes, Lausanne, District de Lausanne, Vaud, 1007, Schweiz/Suisse/Svizzera/Svizra","(46.5172996, 6.6220584)"
balancier,"construction,charpenterie",394.1816187637103,,
surveillante,employées pour le ménage et la ferme,81.75459812137922,,
mécanic,réparations,345.78653768508855,,
coiff,commerce de détail,384.7401428651783,"Rue du Valentin 7 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.52031820124981, 6.63719592470013)"
relieur,industrie du papier,434.73704932785904,"Rue des Echelettes 4 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.52599446966102, 6.637199838335406)"
relieur,industrie du papier,434.73704932785904,"Rue des Echelettes 4 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.51155324243653, 6.6236762659580295)"
arpenteur,"construction,charpenterie",394.1816187637103,,
tailleuse,"vêtements, lingerie,chaussures,literies",399.9752517014458,"4, Rue Louis-Auguste-Curtat, Lausanne, District de Lausanne, Vaud, 1005, Schweiz/Suisse/Svizzera/Svizra","(46.5218085, 6.6360668)"
instil,réparations,345.78653768508855,"18, Avenue de l'Eglise-Anglaise, Lausanne, District de Lausanne, Vaud, 1006, Schweiz/Suisse/Svizzera/Svizra","(46.5133455, 6.6325275)"
tailleur,"vêtements, lingerie,chaussures,literies",399.9752517014458,"4, Rue Louis-Auguste-Curtat, Lausanne, District de Lausanne, Vaud, 1005, Schweiz/Suisse/Svizzera/Svizra","(46.5218085, 6.6360668)"
fromager,produits alimentaires,421.8623094662245,,
employé,"employés pour tous,célibataires",111.1519208054447,"Chemin de Martheray, Cheseaux-sur-Lausanne, District de Lausanne, Vaud, 1033, Schweiz/Suisse/Svizzera/Svizra","(46.582302, 6.5960197)"
boulanger,produits alimentaires,421.8623094662245,"Rue du Valentin, Lausanne, District de Lausanne, Vaud, 1002, Schweiz/Suisse/Svizzera/Svizra","(46.5252598, 6.6310969)"
ling,"vêtements, lingerie,chaussures,literies",399.9752517014458,"Rue Saint-Pierre 1 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.51589389898611, 6.637379513271611)"
voyag,transports,394.39619776140415,,
ag. de police,administration publique,440.1967408530476,"16, Rue de la Pontaise, Lausanne, District de Lausanne, Vaud, 1002, Schweiz/Suisse/Svizzera/Svizra","(46.5295796, 6.6309014)"
boulang,produits alimentaires,421.8623094662245,,
Vve,administration publique,440.1967408530476,"Rue des Terreaux 3 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.52962945536363, 6.650251779778053)"
maç,industrie du papier,434.73704932785904,"Escaliers du Marché 13 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.52636166943103, 6.650335054286033)"
"prof, de coupe",industrie textile,405.9834636368753,"Avenue Louis-Ruchonnet 10 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.538328409248834, 6.650163619702503)"
dentiste,réparations,345.78653768508855,"9, Rue Beau-Séjour, Lausanne, District de Lausanne, Vaud, 1006, Schweiz/Suisse/Svizzera/Svizra","(46.5180852, 6.6349916)"
coutur,"vêtements, lingerie,chaussures,literies",399.9752517014458,"Place de la Gare 5 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.521368131826726, 6.650440030682642)"
coutur,"vêtements, lingerie,chaussures,literies",399.9752517014458,,
entrepr.,"construction,charpenterie",394.1816187637103,"46, Avenue de Morges, Lausanne, District de Lausanne, Vaud, 1004, Schweiz/Suisse/Svizzera/Svizra","(46.5259154, 6.617513)"
agric,employées pour le ménage et la ferme,81.75459812137922,,
ménagère,employées pour le ménage et la ferme,81.75459812137922,"Chemin de Martheray, Cheseaux-sur-Lausanne, District de Lausanne, Vaud, 1033, Schweiz/Suisse/Svizzera/Svizra","(46.582302, 6.5960197)"
maçon,"construction,charpenterie",394.1816187637103,,
journalier,"journaliers,entretien",5.847277687159012,"16, Rue Cité-Derrière, Lausanne, District de Lausanne, Vaud, 1005, Schweiz/Suisse/Svizzera/Svizra","(46.5234037, 6.6362194)"
infirm,employées pour le ménage et la ferme,81.75459812137922,"24, Rue du Valentin, Lausanne, District de Lausanne, Vaud, 1004, Schweiz/Suisse/Svizzera/Svizra","(46.5252619, 6.6311745)"
tailleur,"vêtements, lingerie,chaussures,literies",399.9752517014458,"Avenue d'Echallens 32 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.5145941610733, 6.643704022012655)"
prof,administration publique,440.1967408530476,"14, Avenue Juste-Olivier, Lausanne, District de Lausanne, Vaud, 1006, Schweiz/Suisse/Svizzera/Svizra","(46.5153713, 6.6366517)"
représ,"agences,locations,consultations",433.2349963440017,"Place Chauderon 20 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.51553028178005, 6.643752688416225)"
men,"vêtements, lingerie,chaussures,literies",399.9752517014458,,
commis,commerce de détail,384.7401428651783,"Passage des Jumelles, Lausanne, District de Lausanne, Vaud, 1002, Schweiz/Suisse/Svizzera/Svizra","(46.5224183, 6.6275402)"
épicerie,commerce de détail,384.7401428651783,"Passage des Jumelles, Lausanne, District de Lausanne, Vaud, 1002, Schweiz/Suisse/Svizzera/Svizra","(46.5224183, 6.6275402)"
coutur,"vêtements, lingerie,chaussures,literies",399.9752517014458,"14, Chemin des Clochetons, Lausanne, District de Lausanne, Vaud, 1004, Schweiz/Suisse/Svizzera/Svizra","(46.5267566, 6.6175333)"
modeleur,arts graphiques,414.5666235446316,"3, Rue des Echelettes, Lausanne, District de Lausanne, Vaud, 1002, Schweiz/Suisse/Svizzera/Svizra","(46.5247513, 6.6238394)"
manœuvre,"journaliers,entretien",5.847277687159012,"Chemin des Epinettes 3 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.51836788226922, 6.641758737959218)"
manœuvre,"journaliers,entretien",5.847277687159012,"Chemin des Epinettes 3 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.526565118662255, 6.611600757457435)"
journal,arts graphiques,414.5666235446316,"20, Chemin du Vallon, Cudrex, Bussigny, District de l'Ouest lausannois, Vaud, 1030, Schweiz/Suisse/Svizzera/Svizra","(46.5440991, 6.552483)"
lingère,"vêtements, lingerie,chaussures,literies",399.9752517014458,"Clinique Bois-Cerf, 31, Avenue d'Ouchy, Lausanne, District de Lausanne, Vaud, 1006, Schweiz/Suisse/Svizzera/Svizra","(46.511933, 6.6306002)"
employé,"employés pour tous,célibataires",111.1519208054447,"19, Avenue Henri-Druey, Lausanne, District de Lausanne, Vaud, 1018, Schweiz/Suisse/Svizzera/Svizra","(46.5297854, 6.6273681)"
Vve,administration publique,440.1967408530476,"21, Avenue Edouard-Dapples, Lausanne, District de Lausanne, Vaud, 1006, Schweiz/Suisse/Svizzera/Svizra","(46.5147299, 6.6262299)"
sculpteur,arts graphiques,414.5666235446316,"Rue du Simplon 16 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.51617564504584, 6.6418926582871975)"
éditeur,arts graphiques,414.5666235446316,"39, Avenue de France, Lausanne, District de Lausanne, Vaud, 1004, Schweiz/Suisse/Svizzera/Svizra","(46.5266404, 6.620014)"
employé,"employés pour tous,célibataires",111.1519208054447,"Avenue de Morges 47 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.52209692814962, 6.641806980915403)"
mac,réparations,345.78653768508855,"Rue Saint-François, Lausanne, District de Lausanne, Vaud, 1003, Schweiz/Suisse/Svizzera/Svizra","(46.5205352, 6.6338476)"
représent,"agences,locations,consultations",433.2349963440017,,
technicien,"agences,locations,consultations",433.2349963440017,,
mén,employées pour le ménage et la ferme,81.75459812137922,"12, Rue Mauborget, Lausanne, District de Lausanne, Vaud, 1003, Schweiz/Suisse/Svizzera/Svizra","(46.5226329, 6.6290667)"
journaliste,arts graphiques,414.5666235446316,,
man,"employés pour tous,célibataires",111.1519208054447,"Rue des Jardins 9 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.53004429244913, 6.647779300561268)"
couturière,"vêtements, lingerie,chaussures,literies",399.9752517014458,"3, Rue Mauborget, Lausanne, District de Lausanne, Vaud, 1003, Schweiz/Suisse/Svizzera/Svizra","(46.5228849, 6.6293946)"
peintre,arts graphiques,414.5666235446316,,
étudiante,administration publique,440.1967408530476,,
corresp,"agences,locations,consultations",433.2349963440017,"Avenue d'Echallens 76 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.53145182259044, 6.6478539621144845)"
mécanicien,industrie des métaux,404.9105686484057,"11, Avenue de Cour, Lausanne, District de Lausanne, Vaud, 1007, Schweiz/Suisse/Svizzera/Svizra","(46.5120472, 6.6255447)"
mécan.-dent.,"bijouterie,gravure,frappe",428.29967939704176,"Rue Pré-du-Marché 4 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.54528723560573, 6.647695298722191)"
journalier,"journaliers,entretien",5.847277687159012,"Avenue de Tivoli 8 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.54274386079402, 6.649723949791812)"
coiff,commerce de détail,384.7401428651783,"Rue Saint-Laurent 13 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.51683693562262, 6.650107364482047)"
empi,"employés pour tous,célibataires",111.1519208054447,,
étudiant,"agences,locations,consultations",433.2349963440017,"Rue de la Paix 4 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.51822007747349, 6.601008743418586)"
dem. de mag,commerce de détail,384.7401428651783,"Rue Pré-du-Marché 15 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.51790413056668, 6.6010143816429725)"
ménag,employées pour le ménage et la ferme,81.75459812137922,"Rue du Tunnel 14 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.520340364843335, 6.658441321242031)"
ménag,employées pour le ménage et la ferme,81.75459812137922,"Rue du Tunnel 14 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.53051126783267, 6.6218043174105485)"
ménag,employées pour le ménage et la ferme,81.75459812137922,"Rue du Tunnel 14 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.53010391211084, 6.660032038938204)"
repasseuse,industrie textile,405.9834636368753,"14, Avenue des Mousquines, Lausanne, District de Lausanne, Vaud, 1005, Schweiz/Suisse/Svizzera/Svizra","(46.5171779, 6.6450544)"
gérant,"agences,locations,consultations",433.2349963440017,"14, Avenue des Mousquines, Lausanne, District de Lausanne, Vaud, 1005, Schweiz/Suisse/Svizzera/Svizra","(46.5171779, 6.6450544)"
représentant,commerce de gros,409.4167275999778,"Rue Pré-du-Marché, Lausanne, District de Lausanne, Vaud, 1003, Schweiz/Suisse/Svizzera/Svizra","(46.5240301, 6.6298216)"
fleuriste,commerce de détail,384.7401428651783,,
fille de salle,"hôtellerie,restauration",310.9983163179827,"Rue de la Grotte, Lausanne, District de Lausanne, Vaud, 1003, Schweiz/Suisse/Svizzera/Svizra","(46.518631, 6.6338972)"
mén,employées pour le ménage et la ferme,81.75459812137922,"Rue du Pont 3 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.52319401654974, 6.658421451765468)"
école particulière,"agences,locations,consultations",433.2349963440017,"Avenue de l'Université, Lausanne, District de Lausanne, Vaud, 1014, Schweiz/Suisse/Svizzera/Svizra","(46.5251416, 6.6355766)"
employé,"employés pour tous,célibataires",111.1519208054447,,
fabr. de casquettes,industrie textile,405.9834636368753,,
dentiste,réparations,345.78653768508855,"Rue du Grand-Pont 6 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.5330027979211, 6.658335197539598)"
rentière,"affaires immobilières,location",352.70226843879027,"Rue Pré-du-Marché, Lausanne, District de Lausanne, Vaud, 1003, Schweiz/Suisse/Svizzera/Svizra","(46.5240301, 6.6298216)"
nég,commerce de détail,384.7401428651783,"2, Rue William-Haldimand, Lausanne, District de Lausanne, Vaud, 1003, Schweiz/Suisse/Svizzera/Svizra","(46.5229649, 6.6315277)"
électr.,"gaz,eau,éléctricité",446.1097362056362,"30, Avenue Louis-Vulliemin, Lausanne, District de Lausanne, Vaud, 1005, Schweiz/Suisse/Svizzera/Svizra","(46.527794, 6.6341154)"
dem. de mag,commerce de détail,384.7401428651783,"2, Rue Pépinet, Lausanne, District de Lausanne, Vaud, 1003, Schweiz/Suisse/Svizzera/Svizra","(46.5202337, 6.6321368)"
ménag,employées pour le ménage et la ferme,81.75459812137922,,
manœuvre,"journaliers,entretien",5.847277687159012,"24, Rue Pré-du-Marché, Lausanne, District de Lausanne, Vaud, 1003, Schweiz/Suisse/Svizzera/Svizra","(46.524003, 6.6300133)"
margeur,industrie du papier,434.73704932785904,,
relieur,industrie du papier,434.73704932785904,"Rue des Deux-Marchés, Lausanne, District de Lausanne, Vaud, 1014, Schweiz/Suisse/Svizzera/Svizra","(46.5241092, 6.633444)"
ménagère,employées pour le ménage et la ferme,81.75459812137922,"11, Rue des Echelettes, Lausanne, District de Lausanne, Vaud, 1002, Schweiz/Suisse/Svizzera/Svizra","(46.5247826, 6.6245084)"
coiffeur,commerce de détail,384.7401428651783,,
Vve,administration publique,440.1967408530476,"Rue Saint-Roch 13 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.52217109020263, 6.602854342602657)"
prof,administration publique,440.1967408530476,"Avenue Henri-Druey 13 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.52515377548809, 6.630901379057264)"
coiffeur,commerce de détail,384.7401428651783,,
négoc,commerce de gros,409.4167275999778,"Place Chauderon 25 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.52209598409945, 6.630961043351871)"
minotier,produits alimentaires,421.8623094662245,"2, Avenue de Montbenon, Lausanne, District de Lausanne, Vaud, 1003, Schweiz/Suisse/Svizzera/Svizra","(46.519648, 6.6287922)"
négoc,commerce de gros,409.4167275999778,"25, Place Chauderon, Lausanne, District de Lausanne, Vaud, 1002, Schweiz/Suisse/Svizzera/Svizra","(46.523458, 6.6239391)"
peintre,arts graphiques,414.5666235446316,"Avenue du Rond-Point 1 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.526911699277214, 6.63481927932988)"
nettoyeur,réparations,345.78653768508855,"Olivier Legrand, 20, Chemin de Boston, Lausanne, District de Lausanne, Vaud, 1004, Schweiz/Suisse/Svizzera/Svizra","(46.5244471, 6.619207)"
concierge,employées pour le ménage et la ferme,81.75459812137922,"Rue Saint-Pierre, Lausanne, District de Lausanne, Vaud, 1003, Schweiz/Suisse/Svizzera/Svizra","(46.5195954, 6.6370325)"
sommelière,"hôtellerie,restauration",310.9983163179827,"13, Avenue Edouard-Dapples, Lausanne, District de Lausanne, Vaud, 1006, Schweiz/Suisse/Svizzera/Svizra","(46.5142409, 6.6281269)"
jardin,"journaliers,entretien",5.847277687159012,,
gouv.,administration publique,440.1967408530476,,
instit,administration publique,440.1967408530476,"Quai d'Ouchy 3 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.51571745494914, 6.627798017943269)"
homme de lettres,arts graphiques,414.5666235446316,,
pasteur,employées pour le ménage et la ferme,81.75459812137922,,
empi,"employés pour tous,célibataires",111.1519208054447,"Rue Saint-Martin 27 Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra","(46.50839025128467, 6.628042092152949)"
